assignment_group,incident_count,sla_breaches,breach_rate,median_resolution_hours,p90_resolution_hours,volume_class,breach_risk_class,bottleneck_class,volume_threshold,breach_rate_threshold
Group 10,343,257,74.9271137026239,402.3666666666667,1462.3666666666672,High Volume,High Breach Risk,Critical Bottleneck,268.0,53.0
Group 66,376,262,69.68085106382979,207.76666666666665,1078.9699999999996,High Volume,High Breach Risk,Critical Bottleneck,268.0,53.0
Group 57,313,213,68.05111821086261,167.15,746.1333333333333,High Volume,High Breach Risk,Critical Bottleneck,268.0,53.0
Group 72,367,232,63.21525885558583,123.33333333333331,848.2166666666675,High Volume,High Breach Risk,Critical Bottleneck,268.0,53.0
Group 20,394,230,58.37563451776649,91.475,556.6466666666666,High Volume,High Breach Risk,Critical Bottleneck,268.0,53.0
Group 25,1243,711,57.200321802091715,111.7,456.4933333333333,High Volume,High Breach Risk,Critical Bottleneck,268.0,53.0
Group 65,336,190,56.547619047619044,79.0,621.4900000000001,High Volume,High Breach Risk,Critical Bottleneck,268.0,53.0
Group 5,140,73,52.142857142857146,23.75,472.13166666666666,Lower Volume,Lower Breach Risk,Lower Priority,268.0,53.0
Group 48,162,81,50.0,88.69166666666666,375.65,Lower Volume,Lower Breach Risk,Lower Priority,268.0,53.0
Group 56,167,66,39.52095808383233,28.0,252.7733333333334,Lower Volume,Lower Breach Risk,Lower Priority,268.0,53.0
Group 58,142,50,35.2112676056338,26.275,522.6200000000001,Lower Volume,Lower Breach Risk,Lower Priority,268.0,53.0
Group 46,166,49,29.518072289156628,3.6999999999999997,143.66666666666669,Lower Volume,Lower Breach Risk,Lower Priority,268.0,53.0
Group 49,108,27,25.0,5.225,163.38166666666643,Lower Volume,Lower Breach Risk,Lower Priority,268.0,53.0
Group 12,123,107,86.99186991869918,311.46666666666664,667.43,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 37,176,132,75.0,249.76666666666665,1101.4166666666667,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 74,105,73,69.52380952380952,150.01666666666668,606.496666666667,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 31,205,140,68.29268292682927,101.11666666666666,2759.9733333333324,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 29,257,160,62.2568093385214,148.16666666666666,481.63,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 33,201,123,61.19402985074627,114.5,1028.5166666666669,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 76,189,110,58.201058201058196,102.35,364.75,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 6,257,143,55.6420233463035,120.85,801.1500000000005,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 22,239,130,54.39330543933054,70.83333333333333,683.493333333334,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 54,200,106,53.0,75.6,349.575,Lower Volume,High Breach Risk,SLA Risk,268.0,53.0
Group 28,545,253,46.42201834862386,49.2,321.8966666666668,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
Group 73,576,265,46.00694444444444,58.166666666666664,308.9083333333333,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
Group 27,518,216,41.6988416988417,29.299999999999997,288.565,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
Group 23,811,335,41.30702836004932,27.8,510.0833333333333,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
Group 55,293,114,38.907849829351534,7.666666666666667,262.04333333333363,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
Group 30,268,100,37.3134328358209,26.28333333333333,478.55,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
Group 24,1060,373,35.18867924528302,24.95,295.7300000000004,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
Group 39,1199,374,31.19266055045872,18.816666666666663,194.0233333333333,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
Group 70,9444,1526,16.158407454468446,0.3333333333333333,169.24000000000007,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
Group 64,716,78,10.893854748603351,0.05,22.508333333333333,High Volume,Lower Breach Risk,Volume Bottleneck,268.0,53.0
