assignment_group,bottleneck_class,driver_segment,incident_count,sla_breaches,breach_rate,median_resolution_hours,p90_resolution_hours,reassignment_rate,mean_reassignment_count
Group 10,Critical Bottleneck,Critical Bottleneck,343,257,74.9271137026239,402.3666666666667,1462.3666666666672,41.690962099125365,1.0087463556851313
Group 66,Critical Bottleneck,Critical Bottleneck,376,262,69.68085106382979,207.76666666666665,1078.9699999999996,42.819148936170215,0.8191489361702128
Group 57,Critical Bottleneck,Critical Bottleneck,313,213,68.05111821086261,167.15,746.1333333333333,53.35463258785943,1.073482428115016
Group 72,Critical Bottleneck,Critical Bottleneck,367,232,63.21525885558583,123.33333333333331,848.2166666666675,80.92643051771117,1.8501362397820162
Group 20,Critical Bottleneck,Critical Bottleneck,394,230,58.37563451776649,91.475,556.6466666666666,71.31979695431471,1.9949238578680204
Group 25,Critical Bottleneck,Critical Bottleneck,1243,711,57.200321802091715,111.7,456.4933333333333,57.84392598551891,1.0868865647626709
Group 65,Critical Bottleneck,Critical Bottleneck,336,190,56.547619047619044,79.0,621.4900000000001,38.98809523809524,0.8184523809523809
Group 12,SLA Risk,Other Eligible Groups,123,107,86.99186991869918,311.46666666666664,667.43,59.34959349593496,1.032520325203252
Group 37,SLA Risk,Other Eligible Groups,176,132,75.0,249.76666666666665,1101.4166666666667,47.72727272727273,0.8579545454545454
Group 74,SLA Risk,Other Eligible Groups,105,73,69.52380952380952,150.01666666666668,606.496666666667,74.28571428571429,1.2857142857142858
Group 31,SLA Risk,Other Eligible Groups,205,140,68.29268292682927,101.11666666666666,2759.9733333333324,52.19512195121951,0.9804878048780488
Group 29,SLA Risk,Other Eligible Groups,257,160,62.2568093385214,148.16666666666666,481.63,54.474708171206224,1.1945525291828794
Group 33,SLA Risk,Other Eligible Groups,201,123,61.19402985074627,114.5,1028.5166666666669,59.20398009950249,1.1940298507462686
Group 76,SLA Risk,Other Eligible Groups,189,110,58.201058201058196,102.35,364.75,45.5026455026455,0.7936507936507936
Group 6,SLA Risk,Other Eligible Groups,257,143,55.6420233463035,120.85,801.1500000000005,67.70428015564202,1.4357976653696498
Group 22,SLA Risk,Other Eligible Groups,239,130,54.39330543933054,70.83333333333333,683.493333333334,40.58577405857741,0.7740585774058577
Group 54,SLA Risk,Other Eligible Groups,200,106,53.0,75.6,349.575,75.0,1.9
Group 5,Lower Priority,Other Eligible Groups,140,73,52.142857142857146,23.75,472.13166666666666,21.428571428571427,0.4714285714285714
Group 48,Lower Priority,Other Eligible Groups,162,81,50.0,88.69166666666666,375.65,48.148148148148145,0.7962962962962963
Group 28,Volume Bottleneck,Other Eligible Groups,545,253,46.42201834862386,49.2,321.8966666666668,63.6697247706422,1.271559633027523
Group 73,Volume Bottleneck,Other Eligible Groups,576,265,46.00694444444444,58.166666666666664,308.9083333333333,59.548611111111114,1.015625
Group 27,Volume Bottleneck,Other Eligible Groups,518,216,41.6988416988417,29.299999999999997,288.565,53.66795366795367,0.9922779922779923
Group 23,Volume Bottleneck,Other Eligible Groups,811,335,41.30702836004932,27.8,510.0833333333333,70.65351418002466,1.5782983970406905
Group 56,Lower Priority,Other Eligible Groups,167,66,39.52095808383233,28.0,252.7733333333334,82.63473053892216,2.407185628742515
Group 55,Volume Bottleneck,Other Eligible Groups,293,114,38.907849829351534,7.666666666666667,262.04333333333363,44.36860068259386,0.8737201365187713
Group 30,Volume Bottleneck,Other Eligible Groups,268,100,37.3134328358209,26.28333333333333,478.55,60.447761194029844,1.1044776119402986
Group 58,Lower Priority,Other Eligible Groups,142,50,35.2112676056338,26.275,522.6200000000001,38.732394366197184,0.7112676056338029
Group 24,Volume Bottleneck,Other Eligible Groups,1060,373,35.18867924528302,24.95,295.7300000000004,53.9622641509434,1.0254716981132075
Group 39,Volume Bottleneck,Other Eligible Groups,1199,374,31.19266055045872,18.816666666666663,194.0233333333333,77.89824854045038,1.3686405337781484
Group 46,Lower Priority,Other Eligible Groups,166,49,29.518072289156628,3.6999999999999997,143.66666666666669,45.78313253012048,0.7289156626506024
Group 49,Lower Priority,Other Eligible Groups,108,27,25.0,5.225,163.38166666666643,50.92592592592593,0.7129629629629629
Group 70,Volume Bottleneck,Other Eligible Groups,9444,1526,16.158407454468446,0.3333333333333333,169.24000000000007,21.08216857263871,0.5044472681067345
Group 64,Volume Bottleneck,Other Eligible Groups,716,78,10.893854748603351,0.05,22.508333333333333,14.385474860335195,0.15502793296089384
