assignment_group,incident_count,resolved_incidents,missing_resolution,sla_breaches,median_resolution_hours,p90_resolution_hours,reassigned_incidents,mean_reassignment_count,breach_rate,sla_compliance,resolution_coverage,reassignment_rate,breach_rate_ci_lower,breach_rate_ci_upper,eligible_for_comparison
Group 12,123,123,0,107,311.46666666666664,667.43,73,1.032520325203252,86.99186991869918,13.008130081300816,100.0,59.34959349593496,79.91101236600706,91.83201200454643,True
Group 37,176,176,0,132,249.76666666666665,1101.4166666666667,84,0.8579545454545454,75.0,25.0,100.0,47.72727272727273,68.11482534755851,80.8171236564539,True
Group 10,343,343,0,257,402.3666666666667,1462.3666666666672,143,1.0087463556851313,74.9271137026239,25.072886297376094,100.0,41.690962099125365,70.08112762018185,79.2209168865901,True
Group 66,376,374,2,262,207.76666666666665,1078.9699999999996,161,0.8191489361702128,69.68085106382979,30.319148936170215,99.46808510638297,42.819148936170215,64.85509476366803,74.10851533064495,True
Group 74,105,105,0,73,150.01666666666668,606.496666666667,78,1.2857142857142858,69.52380952380952,30.476190476190478,100.0,74.28571428571429,60.15949639138787,77.50992412429729,True
Group 31,205,205,0,140,101.11666666666666,2759.9733333333324,107,0.9804878048780488,68.29268292682927,31.707317073170728,100.0,52.19512195121951,61.63599311876533,74.27639215313452,True
Group 57,313,313,0,213,167.15,746.1333333333333,167,1.073482428115016,68.05111821086261,31.948881789137385,100.0,53.35463258785943,62.69330112849395,72.9712075723837,True
Group 72,367,367,0,232,123.33333333333331,848.2166666666675,297,1.8501362397820162,63.21525885558583,36.78474114441417,100.0,80.92643051771117,58.16842745763273,67.98829282401853,True
Group 29,257,257,0,160,148.16666666666666,481.63,140,1.1945525291828794,62.2568093385214,37.7431906614786,100.0,54.474708171206224,56.190775829703334,67.96181332785436,True
Group 33,201,201,0,123,114.5,1028.5166666666669,119,1.1940298507462686,61.19402985074627,38.80597014925373,100.0,59.20398009950249,54.30733992882153,67.66085403178022,True
Group 20,394,394,0,230,91.475,556.6466666666666,281,1.9949238578680204,58.37563451776649,41.62436548223351,100.0,71.31979695431471,53.45023439677754,63.13928263713746,True
Group 76,189,181,8,110,102.35,364.75,86,0.7936507936507936,58.201058201058196,41.798941798941804,95.76719576719577,45.5026455026455,51.07425258297167,65.00111704681774,True
Group 25,1243,1243,0,711,111.7,456.4933333333333,719,1.0868865647626709,57.200321802091715,42.799678197908285,100.0,57.84392598551891,54.43160879882469,59.924665486537606,True
Group 65,336,333,3,190,79.0,621.4900000000001,131,0.8184523809523809,56.547619047619044,43.452380952380956,99.10714285714286,38.98809523809524,51.20282797196929,61.74438037450742,True
Group 6,257,257,0,143,120.85,801.1500000000005,174,1.4357976653696498,55.6420233463035,44.3579766536965,100.0,67.70428015564202,49.52922227916554,61.58863622193245,True
Group 22,239,239,0,130,70.83333333333333,683.493333333334,97,0.7740585774058577,54.39330543933054,45.60669456066946,100.0,40.58577405857741,48.0589907402735,60.58862153044123,True
Group 54,200,200,0,106,75.6,349.575,150,1.9,53.0,47.0,100.0,75.0,46.09155733536115,59.795366629128935,True
Group 5,140,140,0,73,23.75,472.13166666666666,30,0.4714285714285714,52.142857142857146,47.857142857142854,100.0,21.428571428571427,43.92177246283011,60.24948258438852,True
Group 48,162,162,0,81,88.69166666666666,375.65,78,0.7962962962962963,50.0,50.0,100.0,48.148148148148145,42.39009323083406,57.60990676916594,True
Group 28,545,545,0,253,49.2,321.8966666666668,347,1.271559633027523,46.42201834862386,53.57798165137615,100.0,63.6697247706422,42.274569794071915,50.619554849541124,True
Group 73,576,576,0,265,58.166666666666664,308.9083333333333,343,1.015625,46.00694444444444,53.99305555555556,100.0,59.548611111111114,41.97652780981676,50.09027112285727,True
Group 27,518,518,0,216,29.299999999999997,288.565,278,0.9922779922779923,41.6988416988417,58.301158301158296,100.0,53.66795366795367,37.52905308362247,45.99085027402476,True
Group 23,811,811,0,335,27.8,510.0833333333333,573,1.5782983970406905,41.30702836004932,58.692971639950684,100.0,70.65351418002466,37.9669242058737,44.72909916848517,True
Group 56,167,167,0,66,28.0,252.7733333333334,138,2.407185628742515,39.52095808383233,60.47904191616767,100.0,82.63473053892216,32.421601113953216,47.091585369900834,True
Group 55,293,293,0,114,7.666666666666667,262.04333333333363,130,0.8737201365187713,38.907849829351534,61.092150170648466,100.0,44.36860068259386,33.5032213188062,44.59957828879598,True
Group 30,268,268,0,100,26.28333333333333,478.55,162,1.1044776119402986,37.3134328358209,62.68656716417911,100.0,60.447761194029844,31.740582135291774,43.24485055786484,True
Group 58,142,142,0,50,26.275,522.6200000000001,55,0.7112676056338029,35.2112676056338,64.7887323943662,100.0,38.732394366197184,27.83917433242716,43.362458123607325,True
Group 24,1060,1059,1,373,24.95,295.7300000000004,572,1.0254716981132075,35.18867924528302,64.81132075471699,99.90566037735849,53.9622641509434,32.37191259021273,38.112415151812016,True
Group 39,1199,1199,0,374,18.816666666666663,194.0233333333333,934,1.3686405337781484,31.19266055045872,68.80733944954129,100.0,77.89824854045038,28.63388239810247,33.871571354079045,True
Group 46,166,166,0,49,3.6999999999999997,143.66666666666669,76,0.7289156626506024,29.518072289156628,70.48192771084338,100.0,45.78313253012048,23.105835424280684,36.85685922767736,True
Group 49,108,108,0,27,5.225,163.38166666666643,55,0.7129629629629629,25.0,75.0,100.0,50.92592592592593,17.787718518702555,33.92971041650581,True
Group 70,9444,7905,1539,1526,0.3333333333333333,169.24000000000007,1991,0.5044472681067345,16.158407454468446,83.84159254553155,83.70393900889454,21.08216857263871,15.429843945923938,16.914491716943232,True
Group 64,716,716,0,78,0.05,22.508333333333333,103,0.15502793296089384,10.893854748603351,89.10614525139665,100.0,14.385474860335195,8.816953339725412,13.388154006112895,True
Group 14,13,13,0,13,697.15,1664.6266666666668,10,2.4615384615384617,100.0,0.0,100.0,76.92307692307693,77.18981569447084,100.0,False
Group 18,2,2,0,2,5269.258333333333,6088.878333333334,2,2.0,100.0,0.0,100.0,100.0,34.23719528896193,100.0,False
Group 71,2,2,0,2,1861.9333333333334,3349.44,2,2.0,100.0,0.0,100.0,100.0,34.23719528896193,100.0,False
Group 7,1,1,0,1,755.9,755.9,1,2.0,100.0,0.0,100.0,100.0,20.654329147389294,100.0,False
Group 77,1,1,0,1,448.51666666666665,448.51666666666665,1,1.0,100.0,0.0,100.0,100.0,20.654329147389294,100.0,False
Group 80,1,1,0,1,5132.5,5132.5,1,2.0,100.0,0.0,100.0,100.0,20.654329147389294,100.0,False
Group 15,58,58,0,57,536.2416666666667,5337.961666666667,44,1.706896551724138,98.27586206896551,1.7241379310344862,100.0,75.86206896551724,90.85892732270166,99.6950040115458,False
Group 9,96,96,0,94,3855.3416666666667,5410.075000000001,68,1.96875,97.91666666666666,2.083333333333337,100.0,70.83333333333334,92.71914417038553,99.42681502898627,False
