category,incident_count,sla_breaches,median_resolution_hours,p90_resolution_hours,reassigned_incidents,mean_reassignment_count,breach_rate,sla_compliance,reassignment_rate,breach_rate_ci_lower,breach_rate_ci_upper,eligible_for_comparison
Category 55,106,84,169.325,2002.2833333333333,61,1.2924528301886793,79.24528301886792,20.75471698113207,57.54716981132076,70.5694607192994,85.87545632488059,True
Category 45,602,446,147.73333333333332,1355.680000000002,207,0.6677740863787376,74.08637873754152,25.913621262458474,34.38538205980066,70.44123682334562,77.42606050321629,True
Category 34,501,333,404.7166666666666,4098.316666666666,343,1.6766467065868262,66.46706586826348,33.532934131736525,68.46307385229541,62.22155779235319,70.46196115695686,True
Category 40,436,266,73.08333333333334,361.6433333333333,327,1.7362385321100917,61.00917431192661,38.99082568807339,75.0,56.35387547935046,65.47216371294058,True
Category 19,245,130,61.11666666666667,760.4700000000006,128,1.2857142857142858,53.06122448979592,46.93877551020408,52.244897959183675,46.812965906906555,59.2149651142732,True
Category 61,810,429,95.38333333333333,450.6800000000002,491,1.1703703703703703,52.96296296296297,47.03703703703703,60.617283950617285,49.519752792808816,56.37820081388812,True
Category 46,2432,1254,65.70833333333333,818.3833333333333,1077,0.8803453947368421,51.5625,48.4375,44.28453947368421,49.575359259172934,53.544712259434846,True
Category 44,302,151,25.566666666666666,410.9416666666666,169,1.1026490066225165,50.0,50.0,55.960264900662246,44.39626231843535,55.60373768156466,True
Category 23,1063,505,46.3,413.3066666666666,925,1.7497648165569144,47.50705550329257,52.49294449670743,87.01787394167451,44.519371665990995,50.51269307539141,True
Category 24,640,303,72.21666666666667,554.8183333333334,278,0.9125,47.34375,52.65625000000001,43.4375,43.502804392271024,51.216393621650425,True
Category 9,1155,471,45.766666666666666,379.31666666666666,340,0.6242424242424243,40.77922077922078,59.22077922077922,29.43722943722944,37.98018245559461,43.63939350715992,True
Category 57,971,390,42.583333333333336,358.5,626,1.395468589083419,40.16477857878476,59.835221421215245,64.46961894953655,37.125848422037016,43.28122489120691,True
Category 13,126,50,50.28333333333333,242.4,101,2.3174603174603177,39.682539682539684,60.31746031746032,80.15873015873017,31.566950403605965,48.408650636430515,True
Category 43,153,59,19.258333333333333,315.89166666666677,86,1.0718954248366013,38.56209150326798,61.43790849673203,56.209150326797385,31.21939475797486,46.46509711152916,True
Category 53,2678,1009,27.883333333333333,333.1566666666667,1260,0.9839432412247946,37.67737117251681,62.32262882748319,47.05003734129948,35.8609235844548,39.529121823148685,True
Category 37,1144,385,22.549999999999997,312.6100000000001,528,0.9064685314685315,33.65384615384615,66.34615384615384,46.15384615384615,30.974372451014787,36.442734578387196,True
Category 26,3338,1017,5.583333333333333,265.35999999999996,1598,0.9559616536848412,30.467345715997602,69.53265428400239,47.87297783103655,28.929098047804853,32.05050074586628,True
Category 28,551,160,0.1833333333333333,358.0866666666667,219,0.5771324863883848,29.038112522686028,70.96188747731398,39.7459165154265,25.403274962568624,32.9632209887083,True
Category 32,1522,377,1.1416666666666666,214.2133333333333,479,0.7299605781865965,24.770039421813404,75.22996057818659,31.47174770039422,22.66662120262002,27.00050020762335,True
Category 20,1047,241,1.9,188.75,451,0.8586437440305635,23.018147086914993,76.981852913085,43.075453677172874,20.569704925320845,25.6638663379409,True
Category 51,549,109,0.2,150.925,102,0.5209471766848816,19.854280510018217,80.14571948998179,18.579234972677597,16.731926565802414,23.395589163838768,True
Category 42,3558,689,0.6333333333333333,173.15500000000011,1233,0.66132658797077,19.364811691961776,80.63518830803822,34.654300168634066,18.099692443595654,20.696013687749435,True
Category 35,517,46,0.25,91.27499999999999,107,0.344294003868472,8.897485493230175,91.10251450676982,20.6963249516441,6.736794685155774,11.664500449487848,True
Category 30,1,1,174.61666666666667,174.61666666666667,1,1.0,100.0,0.0,100.0,20.654329147389294,100.0,False
Category 48,1,1,257.78333333333336,257.78333333333336,1,2.0,100.0,0.0,100.0,20.654329147389294,100.0,False
Category 33,16,15,678.95,2713.7749999999996,7,0.75,93.75,6.25,43.75,71.67073163197013,98.88809426916687,False
Category 22,52,42,374.4083333333333,1283.7933333333335,29,1.8461538461538463,80.76923076923077,19.23076923076923,55.769230769230774,68.10087893080524,89.20406935147892,False
Category 62,4,3,109.64999999999999,749.0683333333335,3,1.5,75.0,25.0,75.0,30.06360524426366,95.44139373553637,False
Category 47,6,4,239.40833333333333,622.8833333333333,5,2.3333333333333335,66.66666666666666,33.333333333333336,83.33333333333334,29.998832134152863,90.3230667440783,False
Category 29,3,2,40.41666666666666,103.10999999999999,3,1.3333333333333333,66.66666666666666,33.333333333333336,100.0,20.76549551264879,93.85096847238394,False
Category 7,31,19,115.81666666666666,742.4166666666666,15,0.9354838709677419,61.29032258064516,38.70967741935484,48.38709677419355,43.823801141131966,76.26712464872844,False
Category 63,11,6,23.03333333333333,239.9,6,1.5454545454545454,54.54545454545454,45.45454545454546,54.54545454545454,28.008775568998818,78.72904245601195,False
Category 8,56,30,31.3,263.60833333333335,16,0.6785714285714286,53.57142857142857,46.42857142857143,28.57142857142857,40.703956657240084,65.98035659641624,False
Category 6,2,1,116.69166666666668,207.7516666666667,0,0.0,50.0,50.0,0.0,9.452865480086615,90.54713451991339,False
Category 56,40,19,49.974999999999994,1683.2850000000003,25,1.8,47.5,52.5,62.5,32.935229550181695,62.50289314607027,False
Category 17,79,35,19.666666666666668,221.37666666666667,46,1.4683544303797469,44.303797468354425,55.696202531645575,58.22784810126582,33.86760915098959,55.26828392688433,False
Category 59,7,3,183.025,411.425,3,0.7142857142857143,42.857142857142854,57.14285714285714,42.857142857142854,15.821692226262684,74.95457695909742,False
Category 38,42,17,31.23333333333333,425.9800000000003,34,1.5952380952380953,40.476190476190474,59.523809523809526,80.95238095238095,27.042647671209085,55.505954471822584,False
Category 10,3,1,114.96666666666668,118.77999999999999,2,0.6666666666666666,33.33333333333333,66.66666666666667,66.66666666666666,6.14903152761605,79.23450448735122,False
Category 25,4,1,29.55,304.36000000000007,2,0.5,25.0,75.0,50.0,4.558606264463622,69.93639475573634,False
Category 31,15,3,27.216666666666665,219.3466666666666,7,1.2,20.0,80.0,46.666666666666664,7.047420643610414,45.18593533465045,False
Category 4,5,1,65.03333333333333,368.81000000000006,1,0.8,20.0,80.0,20.0,3.6223160969787447,62.44717358814613,False
Category 21,8,1,58.08333333333333,101.37166666666664,8,2.125,12.5,87.5,100.0,2.241690886329617,47.08948057698615,False
Category 54,30,3,6.741666666666667,116.8316666666671,9,0.5333333333333333,10.0,90.0,30.0,3.4599259959716147,25.621441315266622,False
Category 50,24,0,9.133333333333333,72.93666666666667,3,0.25,0.0,100.0,12.5,0.0,13.798057582897535,False
Category 5,10,0,0.14999999999999994,0.3449999999999999,0,0.0,0.0,100.0,0.0,0.0,27.75401687666166,False
Category 2,5,0,0.9666666666666668,443.89666666666676,3,1.8,0.0,100.0,60.0,0.0,43.4491494752081,False
Category 52,5,0,1.05,67.05,1,0.2,0.0,100.0,20.0,0.0,43.4491494752081,False
Category 16,2,0,2.966666666666667,4.166666666666667,1,0.5,0.0,100.0,50.0,0.0,65.76280471103807,False
Category 12,1,0,53.43333333333333,53.43333333333333,0,0.0,0.0,100.0,0.0,0.0,79.34567085261071,False
Category 14,1,0,87.76666666666667,87.76666666666667,1,1.0,0.0,100.0,100.0,0.0,79.34567085261071,False
Category 58,1,0,11.816666666666666,11.816666666666666,1,1.0,0.0,100.0,100.0,0.0,79.34567085261071,False
