factor_type,factor_value,incident_count,sla_breaches,breach_rate,breach_rate_ci_lower,breach_rate_ci_upper
Assignment Group,Group 12,123,107,86.99186991869918,79.91101236600706,91.83201200454643
Assignment Group,Group 37,176,132,75.0,68.11482534755851,80.8171236564539
Assignment Group,Group 10,343,257,74.9271137026239,70.08112762018185,79.2209168865901
Assignment Group,Group 66,376,262,69.68085106382979,64.85509476366803,74.10851533064495
Assignment Group,Group 74,105,73,69.52380952380952,60.15949639138787,77.50992412429729
Assignment Group,Group 31,205,140,68.29268292682927,61.63599311876533,74.27639215313452
Assignment Group,Group 57,313,213,68.05111821086261,62.69330112849395,72.9712075723837
Assignment Group,Group 72,367,232,63.21525885558583,58.16842745763273,67.98829282401853
Assignment Group,Group 29,257,160,62.2568093385214,56.190775829703334,67.96181332785436
Assignment Group,Group 33,201,123,61.19402985074627,54.30733992882153,67.66085403178022
Assignment Group,Group 20,394,230,58.37563451776649,53.45023439677754,63.13928263713746
Assignment Group,Group 76,189,110,58.201058201058196,51.07425258297167,65.00111704681774
Assignment Group,Group 25,1243,711,57.200321802091715,54.43160879882469,59.924665486537606
Assignment Group,Group 65,336,190,56.547619047619044,51.20282797196929,61.74438037450742
Assignment Group,Group 6,257,143,55.6420233463035,49.52922227916554,61.58863622193245
Assignment Group,Group 22,239,130,54.39330543933054,48.0589907402735,60.58862153044123
Assignment Group,Group 54,200,106,53.0,46.09155733536115,59.795366629128935
Assignment Group,Group 5,140,73,52.142857142857146,43.92177246283011,60.24948258438852
Assignment Group,Group 48,162,81,50.0,42.39009323083406,57.60990676916594
Assignment Group,Group 28,545,253,46.42201834862386,42.274569794071915,50.619554849541124
Assignment Group,Group 73,576,265,46.00694444444444,41.97652780981676,50.09027112285727
Assignment Group,Group 27,518,216,41.6988416988417,37.52905308362247,45.99085027402476
Assignment Group,Group 23,811,335,41.30702836004932,37.9669242058737,44.72909916848517
Assignment Group,Group 56,167,66,39.52095808383233,32.421601113953216,47.091585369900834
Assignment Group,Group 55,293,114,38.907849829351534,33.5032213188062,44.59957828879598
Assignment Group,Group 30,268,100,37.3134328358209,31.740582135291774,43.24485055786484
Assignment Group,Group 58,142,50,35.2112676056338,27.83917433242716,43.362458123607325
Assignment Group,Group 24,1060,373,35.18867924528302,32.37191259021273,38.112415151812016
Assignment Group,Group 39,1199,374,31.19266055045872,28.63388239810247,33.871571354079045
Assignment Group,Group 46,166,49,29.518072289156628,23.105835424280684,36.85685922767736
Assignment Group,Group 49,108,27,25.0,17.787718518702555,33.92971041650581
Assignment Group,Group 70,9444,1526,16.158407454468446,15.429843945923938,16.914491716943232
Assignment Group,Group 64,716,78,10.893854748603351,8.816953339725412,13.388154006112895
Category,Category 55,106,84,79.24528301886792,70.5694607192994,85.87545632488059
Category,Category 45,602,446,74.08637873754152,70.44123682334562,77.42606050321629
Category,Category 34,501,333,66.46706586826348,62.22155779235319,70.46196115695686
Category,Category 40,436,266,61.00917431192661,56.35387547935046,65.47216371294058
Category,Category 19,245,130,53.06122448979592,46.812965906906555,59.2149651142732
Category,Category 61,810,429,52.96296296296297,49.519752792808816,56.37820081388812
Category,Category 46,2432,1254,51.5625,49.575359259172934,53.544712259434846
Category,Category 44,302,151,50.0,44.39626231843535,55.60373768156466
Category,Category 23,1063,505,47.50705550329257,44.519371665990995,50.51269307539141
Category,Category 24,640,303,47.34375,43.502804392271024,51.216393621650425
Category,Category 9,1155,471,40.77922077922078,37.98018245559461,43.63939350715992
Category,Category 57,971,390,40.16477857878476,37.125848422037016,43.28122489120691
Category,Category 13,126,50,39.682539682539684,31.566950403605965,48.408650636430515
Category,Category 43,153,59,38.56209150326798,31.21939475797486,46.46509711152916
Category,Category 53,2678,1009,37.67737117251681,35.8609235844548,39.529121823148685
Category,Category 37,1144,385,33.65384615384615,30.974372451014787,36.442734578387196
Category,Category 26,3338,1017,30.467345715997602,28.929098047804853,32.05050074586628
Category,Category 28,551,160,29.038112522686028,25.403274962568624,32.9632209887083
Category,Category 32,1522,377,24.770039421813404,22.66662120262002,27.00050020762335
Category,Category 20,1047,241,23.018147086914993,20.569704925320845,25.6638663379409
Category,Category 51,549,109,19.854280510018217,16.731926565802414,23.395589163838768
Category,Category 42,3558,689,19.364811691961776,18.099692443595654,20.696013687749435
Category,Category 35,517,46,8.897485493230175,6.736794685155774,11.664500449487848
Priority,2 - High,408,406,99.50980392156863,98.23049671441399,99.86547027872125
Priority,1 - Critical,270,265,98.14814814814815,95.73891721299216,99.20648187903768
Priority,3 - Moderate,23466,8321,35.45981419926703,34.850143175755235,36.07424516779455
Priority,4 - Low,774,123,15.891472868217054,13.485124684459393,18.63473108051898
Reassignment Bucket,6+,538,492,91.44981412639405,88.78316818548919,93.5287104151941
Reassignment Bucket,3-5,2310,1644,71.16883116883118,69.28763281891567,72.97973760090909
Reassignment Bucket,1-2,8521,4051,47.54136838399249,46.48235037704423,48.60260228647505
Reassignment Bucket,0,13549,2928,21.610450955790096,20.925501366471522,22.311494777569585
